0|T|Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage.|Surveillance clinique et, si besoin, contrôle des concentrations plasmatiques de carbamazépine et réduction éventuelle de sa posologie.|Increased plasma concentrations of carbamazepine overdose with signs of clinical surveillance.|Clinical surveillance and, if necessary, control of plasma concentrations of carbamazepine and possible reduction of its dosage.|http://tinyurl.com/24kn96t
20|PD|Risque de majoration de la toxicité du pemetrexed (diminution de sa clairance rénale par l'acide acétylsalicylique à doses anti- inflammatoires).|Association déconseillée : Chez les patients ayant une fonction rénale faible à modérée (clairance de la créatinine comprise entre 45 ml/min et 80 ml/min). <br />Précaution d'emploi : Chez les patients ayant une fonction rénale normale. Surveillance biologique de la fonction rénale.|Risk of increase in the toxicity of pemetrexed (decreased renal clearance by acetylsalicylic acid-dose anti-inflammatory ).|Association not recommended: In patients with mild to moderate renal function ( creatinine clearance between 45 ml / min and 80 ml / min). <br /> Precautions for use: In patients with normal renal function. Biological monitoring of kidney function.|http://tinyurl.com/24kn96t
21|T|Augmentation du risque hémorragique.||Increased risk of bleeding.||http://tinyurl.com/24kn96t
22|C|Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires.|Si l'association ne peut être évitée, surveillance clinique étroite.|Increased risk of hemorrhagic activity by addition of antiplatelet.|If the association can not be avoided, close clinical monitoring.|http://tinyurl.com/24kn96t
23|D|Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires.|Si l'association ne peut être évitée, surveillance clinique étroite.|Increased risk of hemorrhagic activity by addition of antiplatelet.|If the association can not be avoided, close clinical monitoring.|http://tinyurl.com/24kn96t
24|P|Diminution de l'absorption digestive de l'acide acétylsalicylique.|Prendre les topiques gastro-intestinaux et antiacides à distance (2 heures) de l'acide acétylsalicylique.|Decreased gastrointestinal absorption of acetylsalicylic acid.|Take the topical gastrointestinal and antacids distance (2 hours) of acetylsalicylic acid.|http://tinyurl.com/24kn96t
25|D|Diminution de l'effet uricosurique par compétition de l'élimination de l'acide urique au niveau des tubules rénaux.||Decreased uricosuric effect of competition by the elimination of uric acid in renal tubules.||http://tinyurl.com/24kn96t
26|P|Avec l'acide ascorbique à fortes doses et par voie IV : anomalies de la fonction cardiaque, voire insuffisance cardiaque aiguë (en général réversible à l'arrêt de la vitamine C).|En cas d'hémochromatose, ne donner de la vitamine C qu'après avoir commencé le traitement par la déféroxamine. Surveiller la fonction cardiaque en cas d'association.|With ascorbic acid and high doses intravenously: abnormal cardiac function or acute heart failure (usually reversible upon discontinuation of vitamin C ).|If hemochromatosis, not give vitamin C after starting treatment with deferoxamine. Monitor cardiac function when combined.|http://tinyurl.com/24kn96t
27|P|Risque d'augmentation des concentrations plasmatiques d'estramustine par le clodronate.|Surveillance clinique au cours de l'association.|Risk of increased plasma concentrations of estramustine by clodronate.|clinical surveillance during the association.|http://tinyurl.com/24kn96t
28|T|Potentialisation des effets, à la fois cytostatiques et indésirables, du fluoro-uracile.||Potentiation of effects, both cytostatic and undesirable, of fluorouracil.||http://tinyurl.com/24kn96t
29|D|Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.||Increased risk of adverse effects (concentration-dependent) to type of rhabdomyolysis, by decreasing the hepatic metabolism of cholesterol.||http://tinyurl.com/24kn96t
30|P|Risque d'augmentation des concentrations sanguines de ciclosporine et de la créatininémie.|Dosage des concentrations sanguines de ciclosporine, contrôle de la fonction rénale et adaptation de la posologie pendant le traitement et après son arrêt.|Risk of increased blood levels of cyclosporine and creatinine.|Determination of blood concentrations of cyclosporine, monitoring of renal function and dosage adjustments during treatment and after discontinuation.|http://tinyurl.com/24kn96t
31|D|Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.||Increased risk of adverse effects (concentration-dependent) to type of rhabdomyolysis, by decreasing the hepatic metabolism of cholesterol.||http://tinyurl.com/24kn96t
32|D|Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.||Increased risk of adverse effects (concentration-dependent) to type of rhabdomyolysis, by decreasing the hepatic metabolism of cholesterol.||http://tinyurl.com/24kn96t
33|D|Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.||Increased risk of adverse effects (concentration-dependent) to type of rhabdomyolysis, by decreasing the hepatic metabolism of cholesterol.||http://tinyurl.com/24kn96t
34|D|Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse, par diminution du métabolisme hépatique de l'hypocholestérolémiant.||Increased risk of adverse effects (concentration-dependent) to type of rhabdomyolysis, by decreasing the hepatic metabolism of cholesterol.||http://tinyurl.com/24kn96t
35|T|Risque de prurit, de rougeur et de chaleur, lié à une potentialisation de l'effet vasodilatateur.||Risk of itching, redness and heat associated with a potentiation of the vasodilator effect.||http://tinyurl.com/24kn96t
36|D|Diminution de l'effet des acides biliaires qui sont fixés par la colestyramine et éliminés.||Decreased effect of bile acids that are regulated by cholestyramine and disposed.||http://tinyurl.com/24kn96t
37|P|Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.|Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte.|Serious ventricular arrhythmias by increasing the excitability.|Limit intake, for example: less than 0.1 mg epinephrine in 10 minutes or 0.3 mg in 1 hours in adults.|http://tinyurl.com/24kn96t
38|P|Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.|Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte.|Serious ventricular arrhythmias by increasing the excitability.|Limit intake, for example: less than 0.1 mg epinephrine in 10 minutes or 0.3 mg in 1 hours in adults.|http://tinyurl.com/24kn96t
39|P|Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.|Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte.|Serious ventricular arrhythmias by increasing the excitability.|Limit intake, for example: less than 0.1 mg epinephrine in 10 minutes or 0.3 mg in 1 hours in adults.|http://tinyurl.com/24kn96t
40|P|Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.|Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte.|Serious ventricular arrhythmias by increasing the excitability.|Limit intake, for example: less than 0.1 mg epinephrine in 10 minutes or 0.3 mg in 1 hours in adults.|http://tinyurl.com/24kn96t
41|P|Augmentation des concentrations plasmatiques de l'hydroquinidine et risque de surdosage (diminution de l'excrétion rénale de l'hydroquinidine par alcalinisation des urines).|Surveillance clinique, ECG et éventuellement contrôle des concentrations de l'hydroquinidine ; si besoin, adaptation de la posologie pendant le traitement alcalinisant et après son arrêt.|Increased plasma concentrations of hydroquinidine and risk of overdose (decreased renal excretion of urine alkalinization by hydroquinidine ).|Clinical monitoring, ECG and possibly control of concentrations \u0026#39;hydroquinidine, if necessary, dose adjustment during treatment and after discontinuation alkalizing.|http://tinyurl.com/24kn96t
42|P|Augmentation des concentrations plasmatiques de la quinidine et risque de surdosage (diminution de l'excrétion rénale de la quinidine par alcalinisation des urines).|Surveillance clinique, ECG et éventuellement contrôle de la quinidinémie ; si besoin, adaptation de la posologie pendant le traitement alcalinisant et après son arrêt.|Increased plasma concentrations of quinidine and risk of overdose (decreased renal excretion of quinidine by alkalinization of urine ).|Clinical monitoring, ECG and possibly control quinidinémie, if necessary , dosage adjustments during treatment and after discontinuation alkalizing.|http://tinyurl.com/24kn96t
43|D|Risque de vasoconstriction et/ou de poussées hypertensives.||Risk of vasoconstriction and / or advanced hypertensive.||http://tinyurl.com/24kn96t
44|P|Risque de majoration des troubles neuropsychiques.|Surveillance clinique et biologique régulière, notamment en début d'association.|Increase the risk of neuropsychiatric disorders.|regular clinical and biological monitoring, especially at the beginning of association.|http://tinyurl.com/24kn96t
45|D|Augmentation des concentrations plasmatiques du dopaminergique avec accroissement possible de son activité ou apparition de signes de surdosage.||Increased plasma concentrations of dopamine with possible increase of its activity or signs of overdose.||http://tinyurl.com/24kn96t
46|D|Risque de vasoconstriction et/ou de poussées hypertensives.||Risk of vasoconstriction and / or advanced hypertensive.||http://tinyurl.com/24kn96t
47|D|Risque de vasoconstriction et/ou de poussées hypertensives.||Risk of vasoconstriction and / or advanced hypertensive.||http://tinyurl.com/24kn96t
48|D|Risque de vasoconstriction et/ou de poussées hypertensives.||Risk of vasoconstriction and / or advanced hypertensive.||http://tinyurl.com/24kn96t
49|C|Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.||Risk of coronary vasoconstriction, or extremities (ergotism), or advanced hypertensive.||http://tinyurl.com/24kn96t
50|C|Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.||Risk of coronary vasoconstriction, or extremities (ergotism), or advanced hypertensive.||http://tinyurl.com/24kn96t
51|C|Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.||Risk of coronary vasoconstriction, or extremities (ergotism), or advanced hypertensive.||http://tinyurl.com/24kn96t
52|C|Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.||Risk of coronary vasoconstriction, or extremities (ergotism), or advanced hypertensive.||http://tinyurl.com/24kn96t
53|C|Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.||Risk of coronary vasoconstriction, or extremities (ergotism), or advanced hypertensive.||http://tinyurl.com/24kn96t
54|C|Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.||Risk of coronary vasoconstriction, or extremities (ergotism), or advanced hypertensive.||http://tinyurl.com/24kn96t
55|C|Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.||Risk of coronary vasoconstriction, or extremities (ergotism), or advanced hypertensive.||http://tinyurl.com/24kn96t
56|D|Risque de vasoconstriction et/ou de poussées hypertensives.||Risk of vasoconstriction and / or advanced hypertensive.||http://tinyurl.com/24kn96t
57|D|Risque de vasoconstriction et/ou de poussées hypertensives.||Risk of vasoconstriction and / or advanced hypertensive.||http://tinyurl.com/24kn96t
58|C|Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.||Risk of coronary vasoconstriction, or extremities (ergotism), or advanced hypertensive.||http://tinyurl.com/24kn96t
59|C|Risque d'hypertension artérielle, de vasoconstriction artérielle coronaire.|Respecter un délai de 6 à 24 heures, selon le triptan, entre la prise de celui-ci et celle de l'alcaloïde ergoté|Risk of hypertension, coronary artery vasoconstriction.|Respect within 6-24 hours, depending on triptan, between taking it and that of the ergot alkaloid|http://tinyurl.com/24kn96t
60|C|Risque de vasoconstriction coronaire ou des extrémités (ergotisme), ou de poussées hypertensives.||Risk of coronary vasoconstriction, or extremities (ergotism), or advanced hypertensive.||http://tinyurl.com/24kn96t
61|T|Majoration du risque de réaction aux produits de contraste en cas de traitement antérieur par interleukine 2 : éruption cutanée ou plus rarement hypotension, oligurie voire insuffisance rénale.||Increased risk of reaction to contrast media in case of previous treatment with interleukin 2: rash or rarely hypotension, oliguria or renal.||http://tinyurl.com/24kn96t
62|P|Avec la cimétidine utilisée à des doses supérieures ou égales à 800 mg/j : augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique.|Adapter la posologie de l'alfentanil en cas de traitement par la cimétidine.|With cimetidine used in doses greater than or equal to 800 mg / d: increased respiratory depressant effect of opioid analgesic by decreasing its hepatic metabolism.|Adapting dose of alfentanil in case of treatment with cimetidine.|http://tinyurl.com/24kn96t
63|P|Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique.|Adapter la posologie de l'alfentanil en cas de traitement par le diltiazem.|Increased respiratory depressant effect of opioid analgesic by decreasing its hepatic metabolism.|Adapt dose of alfentanil in case of treatment with diltiazem.|http://tinyurl.com/24kn96t
64|P|Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique.|Adapter la posologie de l'alfentanil en cas de traitement par l'érythromycine.|Increased respiratory depressant effect of opioid analgesic by decreasing its hepatic metabolism.|Adapt dose of alfentanil in case of treatment with erythromycin.|http://tinyurl.com/24kn96t
65|P|Augmentation de l'effet dépresseur respiratoire de l'analgésique opiacé par diminution de son métabolisme hépatique.|Adapter la posologie de l'alfentanil en cas de traitement par le fluconazole.|Increased respiratory depressant effect of opioid analgesic by decreasing its hepatic metabolism.|Adapt dose of alfentanil in case of treatment with fluconazole.|http://tinyurl.com/24kn96t
66|D|Risque d'augmentation des concentrations plasmatiques de l'alfuzosine et de ses effets indésirables.||Risk of increased plasma concentrations of alfuzosin and its side effects.||http://tinyurl.com/24kn96t
67|D|Risque d'augmentation des concentrations plasmatiques de l'alfuzosine et de ses effets indésirables.||Risk of increased plasma concentrations of alfuzosin and its side effects.||http://tinyurl.com/24kn96t
68|D|Risque d'augmentation des concentrations plasmatiques de l'alfuzosine et de ses effets indésirables.||Risk of increased plasma concentrations of alfuzosin and its side effects.||http://tinyurl.com/24kn96t
69|D|Risque d'augmentation des concentrations plasmatiques de l'alfuzosine et de ses effets indésirables.||Risk of increased plasma concentrations of alfuzosin and its side effects.||http://tinyurl.com/24kn96t
70|C|Risque d'augmentation des concentrations plasmatiques de l'alfuzosine et de ses effets indésirables.||Risk of increased plasma concentrations of alfuzosin and its side effects.||http://tinyurl.com/24kn96t
71|C|Augmentation, de près de 5 fois avec la ciclosporine, des concentrations plasmatiques d'aliskirene et majoration du risque de ses effets indésirables.||Increase of nearly 5 times with ciclosporin, plasma concentrations of aliskiren increased risk of adverse effects.||http://tinyurl.com/24kn96t
72|C|Augmentation de près de 6 fois des concentrations plasmatiques d’aliskirene et majoration du risque de ses effets indésirables.||||http://tinyurl.com/24kn96t
73|C|Augmentation des concentrations plasmatiques d'aliskirene et majoration du risque de ses effets indésirables.||Increased plasma concentrations of aliskiren and increased risk of adverse effects.||http://tinyurl.com/24kn96t
74|C|Augmentation des concentrations plasmatiques d'aliskirene et majoration du risque de ses effets indésirables.||Increased plasma concentrations of aliskiren and increased risk of adverse effects.||http://tinyurl.com/24kn96t
75|P|Augmentation de l'effet de l'anticoagulant oral et du risque hémorragique (diminution de son métabolisme hépatique).|Contrôle plus fréquent de l'INR. Adaptation éventuelle de la posologie de l'anticoagulant oral pendant le traitement par l'allopurinol et 8 jours après son arrêt.|Increased effect of oral anticoagulation and risk of bleeding (decreased hepatic metabolism ).|control more frequent INR. Whether to adjust the dosage of oral anticoagulants during treatment with allopurinol and eight days after his arrest.|http://tinyurl.com/24kn96t
76|C|Insuffisance médullaire éventuellement grave.||Bone marrow failure may be serious.||http://tinyurl.com/24kn96t
77|D|Augmentation des concentrations plasmatiques de didanosine et de ses effets indésirables.||Increased plasma concentrations of didanosine and its side effects.||http://tinyurl.com/24kn96t
78|D|Insuffisance médullaire réversible mais éventuellement grave (surdosage par diminution du métabolisme hépatique de la mercaptopurine).|Surveillance hématologique renforcée et adapatation de la posologie de la mercaptopurine.|Bone marrow failure may be reversible but serious (overdose by decreasing the hepatic metabolism of mercaptopurine ).|hematological monitoring strengthened and FITNESS dose of mercaptopurine.|http://tinyurl.com/24kn96t
79|T|Risque accru de réactions cutanées.||Increased risk of skin reactions.||http://tinyurl.com/24kn96t
80|P|En cas de posologies élevées d'allopurinol, augmentation des concentrations plasmatiques de théophylline par inhibition de son métabolisme.|Surveillance clinique et contrôle de la théophyllinémie jusqu'à deux à trois semaines après la mise en route du traitement par l'allopurinol ; s'il y a lieu, adaptation de la posologie pendant le traitement par l'allopurinol.|If high doses of allopurinol, increased plasma concentrations of theophylline by inhibiting its metabolism.|Clinical supervision and control of theophylline up to two to three weeks after the start treatment with allopurinol, if necessary, dose adjustment during treatment with allopurinol.|http://tinyurl.com/24kn96t
